Institution,Tier
Institution Name,Tier
Veer Narmad South Gujarat University,Tier1
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Tier1
Vikram University,Tier1
"Vignan University, Guntur",Tier1
VIT (Vellore Institute of Technology),Tier1
"Yenepoya University, Bangalore",Tier1
"YMCA University of Science and Technology, Faridabad",Tier1
AMET (Academy of Maritime Education and Training),Tier2
Academy of Scientic & Innovative Research (AcSIR),Tier2
"Acharya N G Ranga Agricultural University, Hyderabad",Tier2
"Amity University, Jaipur",Tier2
"Amity University, Noida",Tier2
Anand Agricultural University,Tier2
"Atal Bihari Vajpayee Hindi Vishwavidyalaya, Bhopal",Tier2
"Assam Agricultural University, Jorhat",Tier2
Assam Don Bosco University,Tier2
Assam University,Tier2
Avinashilingam Institute for Home Science and Higher Education for Women,Tier2
Awadhesh Pratap Singh University,Tier2
"B.L.D.E University, Bijapur",Tier2
"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",Tier2
Barkatullah University,Tier2
Bengal Engineering & Science University,Tier2
"Bharat Ratna Dr B.R. Ambedkar University, Delhi",Tier2
Bidhan Chandra Krishi Vishwavidyalaya (BCKV),Tier2
"Birla Institute of Technology, Ranchi",Tier2
Birsa Agricultural University (BAU),Tier2
Bundelkhand University,Tier2
"Central Agricultural University (CAU), Imphal",Tier2
Central University of Gujarat (CUG),Tier2
Central University of Haryana (CUH),Tier2
Central University of Himachal Pradesh,Tier2
Central University of Jammu,Tier2
Central University of Jharkhand (CUJ),Tier2
Central University of Karnataka (CUK),Tier2
Central University of Kashmir,Tier2
Central University of Kerala (CUK),Tier2
Central University of Orissa,Tier2
Central University of Punjab,Tier2
Central University of Rajasthan (CURAJ),Tier2
Central University of South Bihar (CUSB),Tier2
Central University of Tamil Nadu (CUTN),Tier2
"Chaudhary Charan Singh Haryana Agricultural University, Hisar",Tier2
"Chaudhary Charan Singh University, Meerut",Tier2
Chaudhary Devi Lal University (CDLU),Tier2
Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishwavidyalaya,Tier2
Chhatrapati Shahu Ji Maharaj Kanpur University,Tier2
Chitkara University,Tier2
Davangere University,Tier2
"Dakshina Bharat Hindi Prachar Sabha, Chennai",Tier2
Deccan College Post Graduate & Research Institute,Tier2
Deendayal Upadhyaya Gorakhpur University,Tier2
Defence Institute of Advanced Technology (DIAT),Tier2
Dev Sanskriti Vishwavidyalaya (DSVV),Tier2
Dharmsinh Desai University (DDU),Tier2
Dhirubhai Ambani Institute of Information and Communication Technology (DA-IICT),Tier2
Dibrugarh University,Tier2
Doon University,Tier2
Dr B R Ambedkar National Institute of Technology Jalandhar (NIT Jalandhar or NITJ),Tier2
Dr. Babasaheb Ambedkar Technological University (DBATU),Tier2
"Dr. Bhimrao Ambedkar University, Agra (Dr. B.R. Ambedkar University, Agra)",Tier2
Dr. C.V. Raman University,Tier2
Dr. N.T.R. University of Health Sciences,Tier2
Dr. Yashwant Singh Parmar University of Horticulture and Forestry,Tier2
English and Foreign Languages University (EFLU),Tier2
Fakir Mohan University,Tier2
Forest Research Institute (FRI),Tier2
Footwear Design & Development Institute,Tier2
Gauhati University,Tier2
"Goa University, Taleigao Plateau",Tier2
Graphic Era University,Tier2
"Gujarat University, Ahmedabad",Tier2
Gulbarga University,Tier2
Guru Angad Dev Veterinary and Animal Sciences University (GADVASU),Tier2
"Guru Ghasidas Vishwavidyalaya, Bilaspur (GGU)",Tier2
"Gurukula Kangri Vishwavidyalaya, Hardwar",Tier2
Himachal Pradesh Board of Technical Education,Tier2
IFTM University (Institute of Foreign Trade and Management),Tier2
I.I.S. University,Tier2
I.K. Gujral Punjab Technical University (IKGPTU),Tier2
Indian Maritime University (IMU),Tier2
"Indian Institute of Engineering Science and Technology, Shibpur",Tier2
Indian Institute of Science Education and Research Bhopal,Tier2
Indian Institute of Science Education and Research Kolkata,Tier2
Indian Institute of Science Education and Research Pune,Tier2
Indian Institute of Science Education and Research Thiruvananthapuram,Tier2
Indian Institute of Science Education and Research Tirupati,Tier2
Indian Institute of Science Education & Research (IISER) Mohali,Tier2
"Indian Veterinary Research Institute (IVRI), Izatnagar",Tier2
"Indira Gandhi Institute of Development Research (IGIDR), Mumbai",Tier2
"Indira Kala Sangit Vishwavidyalaya (IKSV), Khairagarh",Tier2
Indira Gandhi National Open University (IGNOU),Tier2
"Indira Gandhi National Tribal University, Amarkantak",Tier2
Integral University,Tier2
International Institute for Population Sciences (IIPS),Tier2
International Institute of Information Technology,Tier2
Islamic University of Science and Technology,Tier2
Jagan Nath University,Tier2
"Jai Narain Vyas University, Jodhpur (JNVU)",Tier2
Jaipur National University,Tier2
